"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"BSHDWDMB","","\Co-sponsored\GOOS\DBCP\BSH-DWD-MB","",""
"BSHMB","","\Co-sponsored\GOOS\DBCP\BSH-MB","",""
"BSRN","","\WIGOS\GOS\GOS Surface networks\BSRN","",""
"BULARGO","","\Co-sponsored\GOOS\Argo\BULARGO","",""
"CANDHIS","","\Co-sponsored\GOOS\DBCP\CANDHIS","",""
"CAPMoN","","\WIGOS\GAW\GAW Other elements\CAPMoN","",""
"CARICOOS","","\Co-sponsored\GOOS\DBCP\CARICOOS","",""
"CARIOCA","","\Co-sponsored\GOOS\DBCP\CARIOCA","",""
"CASTNET","","\WIGOS\GAW\GAW Contributing networks\CASTNET","",""
"CDIP","","\Co-sponsored\GOOS\DBCP\CDIP","",""
"ceilometers","","\WIGOS\GOS\GOS Other elements\Ceilometers","",""
"CIS-LiNet","","\WIGOS\GAW\GAW Contributing networks\GALION\CIS-LiNet","",""
"CLIMATc","","\WIGOS\GOS\GOS Surface networks\RBCN\CLIMAT(C)","",""
"CLIMATct","","\WIGOS\GOS\GOS Surface networks\RBCN\CLIMAT(CT)","",""
"CLIMATt","","\WIGOS\GOS\GOS Surface networks\RBCN\CLIMAT(T)","",""
"CLN","","\WIGOS\GAW\GAW Other elements\CLN","",""
"colombiaTSU","","\Co-sponsored\GOOS\DBCP\COLOMBIA-TSU","",""
"coriolis","","\Co-sponsored\GOOS\Argo\CORIOLIS","",""
"coriolisBioargo","","\Co-sponsored\GOOS\Argo\CORIOLIS-BIOARGO","",""
"coriolisCanoa","","\Co-sponsored\GOOS\Argo\CORIOLIS-CANOA","",""
"coriolisCongas","","\Co-sponsored\GOOS\Argo\CORIOLIS-CONGAS","",""
"coriolisDrake","","\Co-sponsored\GOOS\Argo\CORIOLIS-DRAKE","",""
"coriolisEGEE","","\Co-sponsored\GOOS\Argo\CORIOLIS-EGEE","",""
"coriolisEqypt","","\Co-sponsored\GOOS\Argo\CORIOLIS-EGYPT","",""
"coriolisFlops","","\Co-sponsored\GOOS\Argo\CORIOLIS-FLOPS","",""
"coriolisFlostral","","\Co-sponsored\GOOS\Argo\CORIOLIS-FLOSTRAL","",""
"coriolisFNOBJCOMMOPS","","\Co-sponsored\GOOS\Argo\CORIOLIS-FNOB-JCOMMOPS","",""
"coriolisFrontalis","","\Co-sponsored\GOOS\Argo\CORIOLIS-FRONTALIS","",""
