"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"coriolisTrack","","","CORIOLIS-TRACK",NA
"CORMPNC","","","CORMP-NC",NA
"coSponsored","","","Co-sponsored","WMO contributions to co-sponsored observing systems"
"CryoNet","","","CryoNet",NA
"CTBTO","","","CTBTO","Comprehensive Nuclear-Test Ban Treaty Organization International Monitoring System Network monitoring station"
"DBCP","","","DBCP",NA
"DBCP","","","DBCP",NA
"DEKOSIM","","","DEKOSIM",NA
"DFODB","","","DFO DB",NA
"eAIMS","","","E-AIMS",NA
"EANET","","","EANET","EANET"
"EARLINET","","","EARLINET","EARLINET European Lidar"
"eASAP","","","E-ASAP",NA
"ECDB","","","EC DB",NA
"ECIABP","","","EC-IABP",NA
"ECMB","","","EC MB",NA
"EMEP","","","EMEP","European Monitoring and Evaluation Programme "
"ESRLCCG","","","ESRLCCG","NOAA-ESRL (CCG)"
"eSurfmar","","","E-SURFMAR",NA
"eSurfmarIrishIMI","","","E-SURFMAR-IRISH IMI",NA
"eSurfmarNOAA","","","E-SURFMAR-NOAA",NA
"eSurfmarUKFRMB","","","E-SURFMAR-UK/FR MB",NA
"eSurfmarUKMB","","","E-SURFMAR-UK MB",NA
"EUROARGO","","","EUROARGO",NA
"EurositesPlanier","","","EUROSITES PLANIER",NA
"FERHRITSU","","","FERHRI-TSU",NA
"GALION","","","GALION","GAW Aerosol Lidar Observation Network"
"gaw","","","GAW","Global Atmosphere Watch"
"gawContributing","","","GAW Contributing networks","Networks contributing to GAW that have signed an agreement with GAW"
"GAWglobal","","","GAW Global","Global GAW station"
"GAWlocal","","","GAW Local","Local GAW station"
"gawOther","","","GAW Other elements","Other international/national networks that provide atmospheric composition observations but are not (yet) affiliated with GAW"
"GAWPFR","","","GAW-PFR","GAW Precision Filter Radiometer Network"
"GAWregional","","","GAW Regional","Regional GAW station"
"GCOS","","","GCOS","Global Climate Observing System"
"GCW","","","GCW","Global Cryosphere Watch"
"germanAODnetwork","","","German AOD network","German AOD network"
"germanyMB","","","GERMANY MB",NA
"GLOSCAL","","","GLOSCAL",NA
"GNSSradioOccultation","","","GNSS radio-occultation system",NA
"GOOS","","","GOOS","Global Ocean Observing System"
"GOS","","","GOS","Global Observing System"
"GOScontributingNetworks","","","GOS Contributing networks","Networks contributing to the Global Observing System (GOS)"
"GOship","","","GO-SHIP","Global Ocean Ship-Based Hydrographic Investigations Programme"
"GOSother","","","GOS Other elements","Other elements of the Global Observing System (GOS)"
"GOSsurfaceNetworks","","","GOS Surface networks","Surface-based observing networks of the Global Observing System (GOS)"
"greeceMB","","","GREECE MB",NA
"GRUAN","","","GRUAN","GCOS Reference Upper-Air Network"
"GSN","","","GSN","GCOS Surface Network"
"GTOS","","","GTOS","Global Terrestrial Observing System"
"GUAN","","","GUAN","GCOS Upper-Air Network"
"gyroscope","","","GYROSCOPE",NA
"HKOBSDB","","","HK-OBS-DB",NA
"IABP","","","IABP",NA
"IABPcanada","","","IABP CANADA",NA
"IABPEC","","","IABP-EC",NA
"IABPNIC","","","IABP NIC",NA
"IABPUS","","","IABP US",NA
"IABPUW","","","IABP-UW",NA
"IAGOS","","","IAGOS",NA
"IBPIO","","","IBPIO",NA
"IDAF","","","IDAF","IGAC/DEBITS Africa"
